block_hash,Height,Hash,First_Time,Prop_Time,Obs_Witness_Count,Peers_Report_Count,Sorted_Timestamps
152,852147.0,,1591064069.87,48.61800003051758,4,33,
153,852148.0,,1591064118.6829998,0.6280002593994141,4,33,
154,852149.0,,1591064149.3070002,3.759999990463257,4,33,
155,852150.0,,1591064210.731,8.480000019073486,4,32,
156,852151.0,,1591064220.0879998,1.246000051498413,4,33,
157,852152.0,,1591064260.869,0.8710000514984131,4,33,
158,852153.0,,1591064338.5110002,1.1429998874664307,4,33,
159,852154.0,,1591064362.484,2.1539998054504395,4,33,
160,852155.0,,1591064370.736,1.0850000381469727,4,33,
161,852156.0,,1591064454.3579998,3.240000009536743,4,33,
162,852157.0,,1591064519.313,1.5820000171661377,4,33,
163,852158.0,,1591064522.033,16.90400004386902,4,33,
164,852159.0,,1591064579.082,0.9050002098083496,4,33,
165,852160.0,,1591064610.6720002,3.1429998874664307,4,33,
166,852161.0,,1591064619.103,1.9900000095367432,4,33,
167,852162.0,,1591065139.377,2.816999912261963,4,33,
168,852163.0,,1591065161.2120001,0.5809998512268066,4,33,
169,852164.0,,1591065534.01,2.8510000705718994,4,33,
170,852165.0,,1591065556.131,0.557999849319458,4,33,
171,852166.0,,1591065565.49,1.8199999332427979,4,33,
172,852167.0,,1591065576.4989998,3.7900002002716064,4,33,
173,852168.0,,1591065587.465,0.6810002326965332,4,33,
174,852169.0,,1591065595.88,0.7860000133514404,4,33,
175,852170.0,,1591065633.434,0.5180001258850098,4,33,
176,852171.0,,1591065712.5,0.937999963760376,4,33,
177,852172.0,,1591065851.3779998,43.670000076293945,4,33,
178,852173.0,,1591065871.73,23.319000005722046,4,33,
179,852174.0,,1591065894.846,0.9550001621246338,4,33,
180,852175.0,,1591065976.0410001,3.2039997577667236,4,33,
181,852176.0,,1591066046.343,0.8230001926422119,4,33,
182,852177.0,,1591066139.47,45.882999897003174,4,33,
183,852178.0,,1591066227.371,1.373999834060669,4,33,
184,852179.0,,1591066234.3639998,2.8540000915527344,4,33,
185,852180.0,,1591066290.2389998,4.882000207901001,4,33,
186,852181.0,,1591066358.5879998,4.4770002365112305,4,33,
187,852182.0,,1591066458.746,2.563999891281128,4,33,
188,852183.0,,1591066480.929,1.501000165939331,4,33,
189,852184.0,,1591066541.802,3.009000062942505,4,33,
190,852185.0,,1591066608.315,4.746999979019165,4,33,
191,852186.0,,1591066778.0170002,2.242999792098999,4,33,
192,852187.0,,1591066833.226,1.8529999256134033,4,33,
193,852188.0,,1591066931.6360002,9.841000080108643,4,33,
194,852189.0,,1591066985.206,1.88100004196167,4,33,
195,852190.0,,1591067025.645,0.9389998912811279,4,33,
196,852191.0,,1591067097.785,2.3970000743865967,4,33,
197,852192.0,,1591067206.29,2.8540000915527344,4,33,
198,852193.0,,1591067220.794,0.38000011444091797,4,33,
199,852194.0,,1591067235.9160001,3.4069998264312744,4,33,
200,852195.0,,1591067241.909,4.5960001945495605,4,33,
201,852196.0,,1591067255.532,2.176999807357788,4,33,
202,852197.0,,1591067273.3179998,1.3299999237060547,4,33,
203,852198.0,,1591067524.096,3.801999807357788,4,33,
204,852199.0,,1591067576.395,2.617999792098999,4,33,
205,852200.0,,1591067685.617,2.613999843597412,4,33,
206,852201.0,,1591067785.6120002,5.384999990463257,4,33,
207,852202.0,,1591067907.6179998,2.7870001792907715,4,33,
208,852203.0,,1591067920.024,4.773999929428101,4,33,
209,852204.0,,1591068039.248,2.818000078201294,4,33,
210,852205.0,,1591068056.697,1.5989999771118164,4,33,
211,852206.0,,1591068066.19,1.7409999370574951,4,33,
212,852207.0,,1591068155.301,0.8239998817443848,4,33,
213,852208.0,,1591068162.6629999,4.791000127792358,4,33,
214,852209.0,,1591068329.484,5.483000040054321,4,33,
215,852210.0,,1591068727.667,3.555000066757202,4,33,
216,852211.0,,1591068750.6360002,1.99399995803833,4,33,
217,852212.0,,1591068765.915,5.662999868392944,4,33,
218,852213.0,,1591068864.351,0.6050000190734863,4,33,
219,852214.0,,1591068875.774,0.6649999618530273,4,33,
220,852215.0,,1591068880.502,5.382999897003174,4,33,
221,852216.0,,1591068946.792,0.8849999904632568,4,33,
222,852217.0,,1591069017.2629998,2.256000280380249,4,33,
223,852218.0,,1591069068.6729999,37.12600016593933,4,33,
224,852219.0,,1591069307.4120002,4.947999715805054,4,33,
225,852220.0,,1591069374.9160001,3.736999750137329,4,33,
226,852221.0,,1591069481.43,7.6559998989105225,4,33,
227,852222.0,,1591069510.69,2.1410000324249268,4,33,
228,852223.0,,1591069530.986,1.8650000095367432,4,33,
229,852224.0,,1591069544.611,5.086999893188477,4,33,
230,852225.0,,1591069563.159,1.7109999656677246,4,33,
231,852226.0,,1591069626.549,58.88599991798401,4,33,
232,852227.0,,1591069651.164,34.270999908447266,4,33,
233,852228.0,,1591069696.0779998,0.440000057220459,4,33,
234,852229.0,,1591069705.09,1.637000322341919,4,33,
235,852230.0,,1591069785.08,1.1480000019073486,4,33,
236,852231.0,,1591069801.201,1.376999855041504,4,33,
237,852232.0,,1591069842.1629999,0.6500000953674316,4,33,
238,852233.0,,1591069919.8520002,5.262999773025513,4,33,
239,852234.0,,1591069967.049,1.8880000114440918,4,33,
240,852235.0,,1591070034.5670002,1.4300000667572021,4,33,
241,852236.0,,1591070253.586,5.105000019073486,4,33,
242,852237.0,,1591070387.464,1.628999948501587,4,33,
243,852238.0,,1591070767.8179998,4.457000255584717,4,33,
244,852239.0,,1591071022.918,1.190999984741211,4,33,
245,852240.0,,1591071031.34,6.932000160217285,4,33,
246,852241.0,,1591071136.331,5.78600001335144,4,33,
247,852242.0,,1591071138.641,3.4760000705718994,4,33,
248,852243.0,,1591071182.84,1.9630000591278076,4,33,
249,852244.0,,1591071469.927,1.935999870300293,4,33,
250,852245.0,,1591071503.441,0.6679999828338623,4,33,
251,852246.0,,1591071564.7770002,3.6469998359680176,4,33,
252,852247.0,,1591071621.206,2.0419998168945312,4,33,
253,852248.0,,1591071625.186,1.3410000801086426,4,33,
254,852249.0,,1591071689.674,6.24399995803833,4,33,
255,852250.0,,1591071838.072,3.375,4,33,
256,852251.0,,1591071862.941,0.6549999713897705,4,33,
257,852252.0,,1591071879.8479998,2.769000291824341,4,33,
258,852253.0,,1591072033.107,3.7249999046325684,4,33,
259,852254.0,,1591072055.6279998,4.1090004444122314,4,33,
260,852255.0,,1591072107.133,1.1530001163482666,4,33,
261,852256.0,,1591072157.3960001,1.1410000324249268,4,33,
262,852257.0,,1591072304.424,6.8450000286102295,4,33,
263,852258.0,,1591072318.274,2.7820000648498535,4,33,
264,852259.0,,1591072403.205,1.3460001945495605,4,33,
265,852260.0,,1591072425.16,3.631999969482422,4,33,
266,852261.0,,1591072557.8679998,5.073000192642212,4,33,
267,852262.0,,1591072665.379,2.125,4,33,
268,852263.0,,1591072815.928,2.2300000190734863,4,33,
269,852264.0,,1591072850.468,1.4520001411437988,4,33,
270,852265.0,,1591072925.7810001,2.732999801635742,4,33,
271,852266.0,,1591073129.226,4.6549999713897705,4,33,
272,852267.0,,1591073141.6460001,1.8849999904632568,4,33,
273,852268.0,,1591073172.855,0.7879998683929443,4,33,
274,852269.0,,1591073179.524,1.5980002880096436,4,33,
275,852270.0,,1591073302.975,2.5440001487731934,4,33,
276,852271.0,,1591073361.9129999,3.1520001888275146,4,33,
277,852272.0,,1591073444.322,1.3359999656677246,4,33,
