block_hash,mumbai_min,mumbai_max,mumbai_prop_time,virginia_min,virginia_max,virginia_prop_time,london_min,london_max,london_prop_time,africa_min,africa_max,africa_prop_time,Height,global_min,global_max,global_prop_time
00000000010d350f2f534e4d38a96eb8c6fc6b9937612d0880901c5f2a9ee914,1591090707.664,1591090712.0470002,4.383000135421753,1591090707.66,1591150201.8820002,59494.22200012207,1591090707.619,1591150201.8470001,59494.22800016403,1591090707.695,1591090712.0839999,4.388999938964844,852505.0,1591090707.619,1591150201.8820002,59494.26300024986
00000000018a5bbbbbfbec7b1586f4d1d8536151dcfb7ed4235cd75d613c5a79,1591090748.1929998,1591090755.974,7.781000137329102,1591090748.164,1591150201.8820002,59453.71800017357,1591090748.155,1591150201.8479998,59453.69299983978,1591090748.2189999,1591090756.0129998,7.793999910354614,852506.0,1591090748.155,1591150201.8820002,59453.72700023651
00000000011b191cc22f7c9c2d712c7b7a8fc682558ac9f308ff56f8ff0b07d7,1591090751.609,1591090766.9220002,15.313000202178955,1591090751.633,1591150201.883,59450.25,1591090751.6179998,1591150201.8479998,59450.23000001907,1591090751.698,1591090766.925,15.226999998092651,852507.0,1591090751.609,1591150201.883,59450.27399992943
0000000000b5fcb18b5deb17261e0825a32aa7b035ef6e24cb42e2eb7210e02d,1591090884.948,1591091280.284,395.3359999656677,1591090884.918,1591150201.883,59316.96499991417,1591090884.941,1591150201.8479998,59316.90699982643,1591090884.982,1591091280.424,395.44199991226196,852508.0,1591090884.918,1591150201.883,59316.96499991417
0000000000ffcd74b20eed2bef0ddf77f8c18ce22df827c3330e1b04de91ce3e,1591090951.279,1591091280.654,329.375,1591090951.26,1591150201.883,59250.62299990654,1591090951.234,1591150201.8479998,59250.6139998436,1591090951.3339999,1591091280.805,329.47100019454956,852509.0,1591090951.234,1591150201.883,59250.64899992943
000000000230b19372cff3c24704e4359b249ab89b9ec7e5748a54fc73cb7050,1591090991.293,1591091281.299,290.00600004196167,1591090991.207,1591150201.883,59210.67599987984,1591090991.244,1591150201.8479998,59210.603999853134,1591090991.323,1591091281.451,290.12800002098083,852510.0,1591090991.207,1591150201.883,59210.67599987984
000000000134cdf9c1038b33c3813dd01dabf3fef5aa077f5e67cc417cef7c50,1591091035.961,1591091282.2670002,246.30600023269653,1591091035.926,1591150201.883,59165.95699977875,1591091035.919,1591150201.8479998,59165.92899990082,1591091036.0379999,1591091282.418,246.38000011444092,852511.0,1591091035.919,1591150201.883,59165.96399998665
00000000025630c90a06232259e3153df8070e666a5c50e343ee8b27ffa7ec54,1591091164.61,1591091282.9929998,118.38299989700317,1591091164.444,1591150201.883,59037.43899989128,1591091164.492,1591150201.8479998,59037.355999708176,1591091164.6379998,1591091283.145,118.507000207901,852512.0,1591091164.444,1591150201.883,59037.43899989128
0000000001bb8182b018042abb9e323496454669a37df88b258beed051ea2360,1591091331.315,1591091336.8779998,5.562999725341797,1591091331.279,1591150201.883,58870.603999853134,1591091331.264,1591150201.8479998,58870.58399987221,1591091331.3279998,1591091336.91,5.582000255584717,852513.0,1591091331.264,1591150201.883,58870.61899995804
0000000000a7e116ff5950517a2d87790ec8fe293a61a0414c09f0fd1a25f4ee,1591091363.9120002,1591091369.8,5.887999773025513,1591091363.883,1591150201.883,58838.0,1591091363.873,1591150201.8479998,58837.97499990463,1591091363.937,1591091370.484,6.546999931335449,852514.0,1591091363.873,1591150201.883,58838.00999999046
000000000078b9b7b98d51e70051df7a6154116753f00d813b7a1450fcdcf1ff,1591091434.668,1591091441.6260002,6.958000183105469,1591091434.659,1591150201.883,58767.22399997711,1591091434.6820002,1591150201.8479998,58767.165999650955,1591091434.7570002,1591091441.6560001,6.898999929428101,852515.0,1591091434.659,1591150201.883,58767.22399997711
00000000003c47af105ea550316c384c1a317e11776daaf14a3b46b052805ebb,1591091523.769,1591091533.928,10.158999919891357,1591091523.768,1591150201.883,58678.11500000954,1591091523.7229998,1591150201.8479998,58678.125,1591091523.799,1591091533.951,10.151999950408936,852516.0,1591091523.7229998,1591150201.883,58678.16000008583
00000000009f13b269c16a0a9af366ed668059b3ca949ab71d027f64ebf10ac8,1591091661.415,1591091674.786,13.371000051498413,1591091661.381,1591150201.883,58540.50199985504,1591091661.3639998,1591150201.8479998,58540.483999967575,1591091661.427,1591091674.822,13.394999980926514,852517.0,1591091661.3639998,1591150201.883,58540.519000053406
0000000001da186a9e780408d758bf3094babf84d84b79b198d8f054bcf15b30,1591091694.161,1591091711.439,17.277999877929688,1591091694.185,1591150201.883,58507.69799995422,1591091694.169,1591150201.8479998,58507.67899990082,1591091694.2510002,1591091711.4589999,17.20799970626831,852518.0,1591091694.161,1591150201.883,58507.72199988365
000000000206f408dbe54f9388cb2cd6fc01c2703233a5877b3f3fc0089cab1d,1591091804.181,1591091814.812,10.63100004196167,1591091804.091,1591150201.883,58397.791999816895,1591091804.129,1591150201.8479998,58397.71899986267,1591091804.216,1591091814.85,10.633999824523926,852519.0,1591091804.091,1591150201.883,58397.791999816895
000000000012937badd1912c9765cafa8193d1e3b3604692ee8fa2132eca2df7,1591091942.812,1591091946.929,4.116999864578247,1591091942.7220001,1591150201.883,58259.16099977493,1591091942.76,1591150201.8479998,58259.08799982071,1591091942.84,1591091953.5270002,10.687000274658203,852520.0,1591091942.7220001,1591150201.883,58259.16099977493
