Peer_IP,Version,User_Agent,Start_Height,Services,Peer_Time,Validated_Time
34.87.37.112,170011,/MagicBean:3.0.0/,848064,5,1590757149,1590757149.464
88.99.37.232,170011,/MagicBean:3.0.0/,848073,5,1590757662,1590757662.948
95.216.46.155,170011,/MagicBean:3.0.0/,848076,5,1590757829,1590757829.204
35.198.119.137,170011,/MagicBean:3.0.0/,848077,5,1590757890,1590757890.331
138.197.106.225,170010,/MagicBean:2.1.2-3/,848078,5,1590757937,1590757937.141
34.66.191.95,170011,/MagicBean:3.0.0/,848083,5,1590758139,1590758139.580
3.112.252.179,170010,/MagicBean:2.1.2-3/,848087,5,1590758311,1590758311.889
162.14.4.106,170011,/MagicBean:3.0.0/,848097,5,1590759027,1590759028.052
80.84.57.38,170010,/MagicBean:2.1.2-3/,848058,5,1590759442,1590759442.786
52.194.192.91,170010,/MagicBean:2.1.2-3/,848103,5,1590759506,1590759506.897
47.252.1.134,170010,/MagicBean:2.1.2/,848107,5,1590759697,1590759697.560
52.30.69.116,170010,/MagicBean:2.1.2-3/,848107,5,1590759747,1590759747.824
66.70.180.144,170011,/MagicBean:3.0.0/,848108,5,1590759820,1590759820.055
94.156.174.100,170011,/MagicBean:3.0.0/,848138,5,1590761632,1590761632.335
5.9.7.62,170011,/MagicBean:3.0.0/,848147,5,1590762445,1590762445.911
47.94.139.217,170011,/MagicBean:3.0.0/,848157,5,1590763312,1590763312.565
194.135.81.61,170011,/MagicBean:3.0.0/,848162,5,1590763746,1590763746.570
213.239.201.46,170011,/MagicBean:3.0.0/,848190,5,1590765692,1590765692.540
51.68.5.144,170010,/zqwMagicBean:2.1.2/,848197,5,1590766041,1590766113.729
167.172.43.123,170009,/MagicBean:2.1.0-1/,324760,5,1590767226,1590767226.351
47.57.153.116,170010,/MagicBean:2.1.2-3/,848220,5,1590767661,1590767661.811
13.231.145.68,170011,/MagicBean:3.0.0/,848221,5,1590767736,1590767736.581
34.90.231.182,170010,/MagicBean:2.1.2/,848262,5,1590771396,1590771396.361
34.90.231.182,170010,/MagicBean:2.1.2/,848271,5,1590772008,1590772008.867
34.90.231.182,170010,/MagicBean:2.1.2/,848287,5,1590772642,1590772642.736
3.91.227.122,170011,/MagicBean:3.0.0(bitcore)/,848304,5,1590773477,1590773477.917
35.173.127.89,170011,/MagicBean:3.0.0(bitcore)/,848306,5,1590773645,1590773645.482
34.90.231.182,170010,/MagicBean:2.1.2/,848306,5,1590773682,1590773682.964
34.90.231.182,170010,/MagicBean:2.1.2/,848311,5,1590774424,1590774424.715
159.65.98.117,170011,/MagicBean:3.0.0/,848312,5,1590774757,1590774757.185
34.90.231.182,170010,/MagicBean:2.1.2/,848315,5,1590775136,1590775136.446
34.90.231.182,170010,/MagicBean:2.1.2/,848329,5,1590776212,1590776212.362
34.90.231.182,170010,/MagicBean:2.1.2/,848336,5,1590776857,1590776857.642
116.203.188.195,170010,/MagicBean:2.1.2-3/,848342,5,1590777140,1590777140.896
34.90.231.182,170010,/MagicBean:2.1.2/,848355,5,1590777847,1590777847.309
34.90.231.182,170010,/MagicBean:2.1.2/,848365,5,1590778525,1590778525.493
47.244.97.2,170010,/MagicBean:2.1.2/,848371,5,1590778915,1590778915.334
34.90.231.182,170010,/MagicBean:2.1.2/,848373,5,1590779186,1590779186.413
34.90.231.182,170010,/MagicBean:2.1.2/,848384,5,1590780113,1590780113.491
3.92.199.184,170011,/MagicBean:3.0.0(bitcore)/,848386,5,1590780266,1590780266.403
34.90.231.182,170010,/MagicBean:2.1.2/,848408,5,1590781710,1590781710.227
34.90.231.182,170010,/MagicBean:2.1.2/,848419,5,1590782688,1590782688.549
193.70.38.148,170010,/MagicBean:2.1.2-3/,848434,5,1590784464,1590784464.813
47.93.17.158,170011,/MagicBean:3.0.0/,848483,5,1590788089,1590788090.072
138.201.244.90,170011,/MagicBean:3.0.0/,848509,5,1590789766,1590789766.313
167.172.43.123,170009,/MagicBean:2.1.0-1/,12975,5,1590800797,1590800797.250
46.246.63.66,170011,/MagicBean:3.0.0/,848715,5,1590805534,1590805534.624
74.213.232.247,170011,/MagicBean:3.0.0/,848721,5,1590806292,1590806293.385
51.68.5.144,170010,/zqwMagicBean:2.1.2/,848781,5,1590810148,1590810181.968
24.5.47.53,170011,/MagicBean:3.0.0/,848846,5,1590814283,1590814283.114
45.77.207.1,170011,/MagicBean:3.0.0/,848884,5,1590817673,1590817673.757
18.182.25.219,170011,/MagicBean:3.0.0/,848928,5,1590821300,1590821300.243
173.212.197.63,170011,/MagicBean:3.0.0/,848928,5,1590821457,1590821457.747
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,848983,5,1590825304,1590825304.686
212.158.160.111,170009,/MagicBean:2.1.1-1/,207051,5,1590825429,1590825429.560
173.255.198.125,170010,/MagicBean:2.1.2-3/,849027,5,1590828556,1590828556.327
47.93.97.78,170011,/MagicBean:3.0.0/,2507,5,1590840620,1590840620.845
192.64.112.23,170011,/MagicBean:3.0.0/,849192,5,1590841550,1590841550.659
212.158.160.111,170009,/MagicBean:2.1.1-1/,381837,5,1590847524,1590847524.512
119.23.30.242,170010,/MagicBean:2.1.2/,849337,5,1590851737,1590851738.098
51.68.5.144,170010,/zqwMagicBean:2.1.2/,849358,5,1590853675,1590853701.851
47.100.175.51,170011,/MagicBean:3.0.0/,849369,5,1590854674,1590854674.369
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,849481,5,1590862610,1590862610.244
167.99.86.56,170011,/MagicBean:3.0.0/,849536,5,1590866737,1590866737.673
167.172.43.123,170009,/MagicBean:2.1.0-1/,8673,5,1590879689,1590879689.646
185.59.101.51,170010,/MagicBean:2.1.2-1/,849717,5,1590880640,1590880640.736
173.255.198.125,170011,/MagicBean:3.0.0/,849750,5,1590883007,1590883007.883
64.227.44.6,170010,/MagicBean:2.1.2-3/,849832,5,1590890214,1590890214.148
64.227.44.6,170010,/MagicBean:2.1.2-3/,849968,5,1590899986,1590899986.957
64.137.174.58,170011,/MagicBean:3.0.0/,850096,5,1590908955,1590908958.742
64.137.174.58,170011,/MagicBean:3.0.0/,850125,5,1590911227,1590911175.187
142.4.209.60,170010,/MagicBean:2.1.2-3/,850267,5,1590921669,1590921669.855
198.187.30.208,170011,/MagicBean:3.0.0/,850278,5,1590922792,1590922790.034
188.166.173.215,170011,/MagicBean:3.0.0(bitcore)/,850280,5,1590923095,1590923095.639
74.213.232.247,170011,/MagicBean:3.0.0/,850432,5,1590934590,1590934593.697
18.219.58.220,170011,/MagicBean:3.0.0/,850467,5,1590937918,1590937918.818
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,850536,5,1590942579,1590942579.331
167.172.43.123,170009,/MagicBean:2.1.0-1/,42098,5,1590945341,1590945341.663
18.222.89.175,170011,/MagicBean:3.0.0/,850651,5,1590950749,1590950749.972
188.165.43.210,170010,/MagicBean:2.1.2-3/,850705,5,1590955213,1590955213.376
188.165.43.210,170010,/MagicBean:2.1.2-3/,850707,5,1590955910,1590955910.539
188.165.43.210,170010,/MagicBean:2.1.2-3/,850730,5,1590957722,1590957722.967
178.63.71.183,170011,/MagicBean:3.0.0/,850758,5,1590959807,1590959807.341
148.72.155.96,170011,/MagicBean:3.0.0/,850882,5,1590968124,1590968124.425
51.68.5.144,170010,/zqwMagicBean:2.1.2/,850981,5,1590976113,1590976162.905
162.217.231.179,170010,/MagicBean:2.1.2/,850999,5,1590977441,1590977441.757
47.92.134.60,170011,/MagicBean:3.0.0/,851034,5,1590980327,1590980327.478
47.93.97.78,170011,/MagicBean:3.0.0/,6606,5,1590985831,1590985831.436
212.237.100.181,170011,/MagicBean:3.0.0/,851118,5,1590986625,1590986625.896
116.202.100.25,170010,/MagicBean:2.1.2(bitcore)/,851241,5,1590995999,1590995999.460
47.93.97.78,170011,/MagicBean:3.0.0/,32,5,1590998609,1590998609.837
47.93.97.78,170011,/MagicBean:3.0.0/,159145,5,1591002647,1591002647.468
199.217.115.27,170010,/MagicBean:2.1.2-3/,851331,5,1591003115,1591003115.268
